IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.76.146.1,2087,true,HKG,Asia Pacific,Hong Kong,67 ms,1711 kB/s
47.76.37.57,2096,true,HKG,Asia Pacific,Hong Kong,424 ms,1622 kB/s
47.236.170.225,2053,true,SIN,Asia Pacific,Singapore,270 ms,1506 kB/s
47.90.141.204,443,true,LAX,North America,Los Angeles,249 ms,1401 kB/s
47.236.170.225,2096,true,SIN,Asia Pacific,Singapore,276 ms,1353 kB/s
47.236.130.95,443,true,SIN,Asia Pacific,Singapore,271 ms,1316 kB/s
47.76.49.246,2096,true,HKG,Asia Pacific,Hong Kong,58 ms,1228 kB/s
47.238.52.240,80,true,SIN,Asia Pacific,Singapore,72 ms,1142 kB/s
47.76.49.246,2083,true,HKG,Asia Pacific,Hong Kong,60 ms,1059 kB/s
47.76.49.246,8443,true,HKG,Asia Pacific,Hong Kong,62 ms,1017 kB/s
47.238.48.58,80,true,SIN,Asia Pacific,Singapore,54 ms,972 kB/s
47.76.218.163,443,true,HKG,Asia Pacific,Hong Kong,59 ms,964 kB/s
47.76.178.146,2083,true,HKG,Asia Pacific,Hong Kong,675 ms,761 kB/s
47.76.146.1,2053,true,HKG,Asia Pacific,Hong Kong,66 ms,732 kB/s
47.76.178.146,8443,true,HKG,Asia Pacific,Hong Kong,636 ms,636 kB/s
47.236.181.185,8443,true,SIN,Asia Pacific,Singapore,280 ms,594 kB/s
47.76.146.1,8443,true,HKG,Asia Pacific,Hong Kong,68 ms,588 kB/s
47.76.37.57,8443,true,HKG,Asia Pacific,Hong Kong,417 ms,486 kB/s
47.76.37.57,2083,true,HKG,Asia Pacific,Hong Kong,453 ms,323 kB/s
47.76.37.57,2087,true,HKG,Asia Pacific,Hong Kong,431 ms,323 kB/s
47.76.146.1,2083,true,HKG,Asia Pacific,Hong Kong,62 ms,316 kB/s
47.57.245.232,443,true,SJC,North America,San Jose,72 ms,310 kB/s
47.76.94.15,2096,true,HKG,Asia Pacific,Hong Kong,636 ms,297 kB/s
47.76.77.103,2087,true,HKG,Asia Pacific,Hong Kong,127 ms,291 kB/s
47.76.77.103,2096,true,HKG,Asia Pacific,Hong Kong,124 ms,284 kB/s
47.76.94.15,2053,true,HKG,Asia Pacific,Hong Kong,642 ms,262 kB/s
47.76.146.1,2096,true,HKG,Asia Pacific,Hong Kong,68 ms,224 kB/s
47.57.14.118,443,true,SJC,North America,San Jose,65 ms,224 kB/s
47.76.94.15,8443,true,HKG,Asia Pacific,Hong Kong,588 ms,206 kB/s
47.76.77.103,2053,true,HKG,Asia Pacific,Hong Kong,138 ms,198 kB/s
47.76.178.146,2087,true,HKG,Asia Pacific,Hong Kong,665 ms,157 kB/s
47.236.63.152,443,true,SIN,Asia Pacific,Singapore,275 ms,153 kB/s
47.76.178.146,2053,true,HKG,Asia Pacific,Hong Kong,688 ms,144 kB/s
47.76.178.146,443,true,HKG,Asia Pacific,Hong Kong,621 ms,121 kB/s
8.218.63.172,443,true,HKG,Asia Pacific,Hong Kong,57 ms,61 kB/s
47.76.77.103,2083,true,HKG,Asia Pacific,Hong Kong,137 ms,54 kB/s
47.250.176.68,80,true,SIN,Asia Pacific,Singapore,165 ms,6 kB/s
47.250.149.42,80,true,SIN,Asia Pacific,Singapore,159 ms,3 kB/s
47.250.150.193,80,true,SIN,Asia Pacific,Singapore,159 ms,2 kB/s
47.76.77.103,8443,true,HKG,Asia Pacific,Hong Kong,113 ms,0 kB/s
