IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.236.180.24,2087,true,SIN,Asia Pacific,Singapore,220 ms,5458 kB/s
47.237.125.8,2087,true,SIN,Asia Pacific,Singapore,224 ms,5445 kB/s
8.210.156.6,2083,true,HKG,Asia Pacific,Hong Kong,69 ms,5423 kB/s
47.245.105.224,8443,true,SIN,Asia Pacific,Singapore,232 ms,5378 kB/s
47.236.165.25,2083,true,SIN,Asia Pacific,Singapore,211 ms,5361 kB/s
47.236.97.90,2083,true,SIN,Asia Pacific,Singapore,220 ms,5314 kB/s
47.76.26.26,2096,true,HKG,Asia Pacific,Hong Kong,58 ms,5306 kB/s
47.76.26.26,8443,true,HKG,Asia Pacific,Hong Kong,62 ms,5299 kB/s
47.76.146.1,2096,true,HKG,Asia Pacific,Hong Kong,60 ms,5291 kB/s
47.236.253.41,2053,true,SIN,Asia Pacific,Singapore,221 ms,5245 kB/s
47.237.92.26,2083,true,SIN,Asia Pacific,Singapore,232 ms,5225 kB/s
47.238.40.58,2087,true,HKG,Asia Pacific,Hong Kong,67 ms,5200 kB/s
47.236.167.231,2053,true,SIN,Asia Pacific,Singapore,222 ms,5185 kB/s
47.237.121.38,2053,true,SIN,Asia Pacific,Singapore,227 ms,5180 kB/s
8.219.199.220,2087,true,SIN,Asia Pacific,Singapore,239 ms,5172 kB/s
47.236.170.225,2096,true,SIN,Asia Pacific,Singapore,218 ms,5159 kB/s
8.219.114.201,2053,true,SIN,Asia Pacific,Singapore,217 ms,5154 kB/s
47.236.118.216,2083,true,SIN,Asia Pacific,Singapore,216 ms,5142 kB/s
47.237.94.140,2083,true,SIN,Asia Pacific,Singapore,219 ms,5138 kB/s
47.238.35.50,8443,true,HKG,Asia Pacific,Hong Kong,56 ms,5135 kB/s
47.236.180.51,2083,true,SIN,Asia Pacific,Singapore,220 ms,5096 kB/s
47.76.26.26,2087,true,HKG,Asia Pacific,Hong Kong,67 ms,5093 kB/s
8.222.183.242,2096,true,SIN,Asia Pacific,Singapore,226 ms,5072 kB/s
8.210.156.6,2053,true,HKG,Asia Pacific,Hong Kong,58 ms,5070 kB/s
8.222.137.192,2096,true,SIN,Asia Pacific,Singapore,227 ms,5009 kB/s
47.236.171.205,2053,true,SIN,Asia Pacific,Singapore,217 ms,5006 kB/s
8.219.60.54,2096,true,SIN,Asia Pacific,Singapore,217 ms,4996 kB/s
47.237.121.38,2087,true,SIN,Asia Pacific,Singapore,212 ms,4990 kB/s
47.238.6.58,2087,true,HKG,Asia Pacific,Hong Kong,71 ms,4988 kB/s
8.222.183.242,2087,true,SIN,Asia Pacific,Singapore,214 ms,4981 kB/s
47.236.180.51,2096,true,SIN,Asia Pacific,Singapore,222 ms,4969 kB/s
